run_id,prompt_id,prompt_text,provider,model,latency_ms,input_tokens,output_tokens,repeat_num,coke_brands_found,competitor_brands_found,response_type,coke_is_primary_recommendation,citation_count,coke_citation_count
e9862845,p001,Best cold drink for summer in India,gemini,gemini-2.0-flash,8300,7,548,1,[],[],list,0,8,0
e9862845,p001,Best cold drink for summer in India,gemini,gemini-2.0-flash,8349,7,569,2,[],[],list,0,8,0
e9862845,p001,Best cold drink for summer in India,gemini,gemini-2.0-flash,8448,7,551,3,[],[],list,0,7,0
e9862845,p001,Best cold drink for summer in India,openai,gpt-4o,7362,308,263,1,[],[],list,0,0,0
e9862845,p001,Best cold drink for summer in India,openai,gpt-4o,6815,308,237,2,[],[],list,0,0,0
e9862845,p001,Best cold drink for summer in India,openai,gpt-4o,4435,308,278,3,[],[],list,0,0,0
e9862845,p001,Best cold drink for summer in India,perplexity,sonar-pro,7420,8,567,1,[],[],list,0,5,0
e9862845,p001,Best cold drink for summer in India,perplexity,sonar-pro,5796,8,610,2,[],[],list,0,7,0
e9862845,p001,Best cold drink for summer in India,perplexity,sonar-pro,5892,8,380,3,[],[],list,0,6,0
e9862845,p002,What are the ingredients in Coca-Cola?,gemini,gemini-2.0-flash,3258,9,123,1,"[""coca_cola""]",[],direct_answer,0,3,0
e9862845,p002,What are the ingredients in Coca-Cola?,gemini,gemini-2.0-flash,3375,9,126,2,"[""coca_cola""]",[],direct_answer,0,3,0
e9862845,p002,What are the ingredients in Coca-Cola?,gemini,gemini-2.0-flash,3265,9,131,3,"[""coca_cola""]",[],direct_answer,0,3,0
e9862845,p002,What are the ingredients in Coca-Cola?,openai,gpt-4o,3099,309,97,1,"[""coca_cola""]",[],direct_answer,0,0,0
e9862845,p002,What are the ingredients in Coca-Cola?,openai,gpt-4o,4377,309,140,2,"[""coca_cola""]",[],direct_answer,0,0,0
e9862845,p002,What are the ingredients in Coca-Cola?,openai,gpt-4o,4105,309,89,3,"[""coca_cola""]",[],direct_answer,0,0,0
e9862845,p002,What are the ingredients in Coca-Cola?,perplexity,sonar-pro,4362,9,365,1,"[""coca_cola""]",[],narrative,0,8,2
e9862845,p002,What are the ingredients in Coca-Cola?,perplexity,sonar-pro,4061,9,372,2,"[""coca_cola""]",[],direct_answer,0,8,4
e9862845,p002,What are the ingredients in Coca-Cola?,perplexity,sonar-pro,5066,9,244,3,"[""coca_cola""]",[],narrative,1,8,2
e9862845,p003,Is Thums Up better than Pepsi?,gemini,gemini-2.0-flash,6568,8,429,1,"[""thums_up""]","[""pepsi""]",comparison,1,10,0
e9862845,p003,Is Thums Up better than Pepsi?,gemini,gemini-2.0-flash,5434,8,344,2,"[""thums_up""]","[""pepsi""]",comparison,1,10,0
e9862845,p003,Is Thums Up better than Pepsi?,gemini,gemini-2.0-flash,5192,8,348,3,"[""thums_up""]","[""pepsi""]",comparison,1,7,0
e9862845,p003,Is Thums Up better than Pepsi?,openai,gpt-4o,5672,309,188,1,"[""thums_up""]","[""pepsi""]",comparison,1,0,0
e9862845,p003,Is Thums Up better than Pepsi?,openai,gpt-4o,6055,309,204,2,"[""thums_up""]","[""pepsi""]",comparison,1,0,0
e9862845,p003,Is Thums Up better than Pepsi?,openai,gpt-4o,7546,309,173,3,"[""thums_up""]","[""pepsi""]",comparison,1,0,0
e9862845,p003,Is Thums Up better than Pepsi?,perplexity,sonar-pro,5940,9,341,1,"[""thums_up""]","[""pepsi""]",comparison,1,7,0
